Name of University,Name of University_lbEncode,Location,Location_lbEncode
Université Grenoble Alpes,1591,France,27
University of Vic – Central University of Catalonia,1537,Spain,81
University of Texas Rio Grande Valley,1510,United States,94
"University of Technology, Iraq",1509,Iraq,38
University of Technology of Troyes,1508,France,27
University of Technology of Compiègne,1507,France,27
University of Technology Sydney,1506,Unknown Location,95
University of Tasmania,1505,Australia,2
University of Tartu,1504,Unknown Location,95
University of Tarapacá,1503,Chile,12
University of Talca,1502,Chile,12
University of Tabuk,1501,Saudi Arabia,74
University of São Paulo,1500,Brazil,8
University of Szeged,1499,Hungary,33
University of Sussex,1498,United Kingdom,93
University of Surrey,1497,United Kingdom,93
University of Sunderland,1496,United Kingdom,93
University of Stuttgart,1495,Germany,29
University of Strathclyde,1494,United Kingdom,93
University of Strasbourg,1493,France,27
University of Stirling,1492,United Kingdom,93
University of Stavanger,1491,Norway,64
University of St Gallen,1490,Switzerland,84
University of St Andrews,1489,United Kingdom,93
University of Split,1488,Croatia,16
University of Texas at Austin,1511,United States,94
University of Texas at Dallas,1512,United States,94
University of Texas at El Paso,1513,United States,94
University of Twente,1526,Netherlands,60
"University of Veterinary and Animal Sciences, Lahore",1536,Pakistan,66
University of Venda,1535,South Africa,79
University of Valparaíso,1534,Chile,12
University of Valladolid,1533,Spain,81
University of Valencia,1532,Spain,81
University of Vaasa,1531,Finland,26
University of Utah,1530,United States,94
University of Urbino Carlo Bo,1529,Italy,41
University of Udine,1528,Italy,41
University of Tübingen,1527,Germany,29
University of Tuscia,1525,Italy,41
University of Thessaly,1514,Greece,31
University of Turku,1524,Unknown Location,95
University of Turin,1523,Italy,41
University of Tunis El Manar,1522,Tunisia,88
University of Tunis,1521,Tunisia,88
University of Tsukuba,1520,Japan,43
University of Trás-os-Montes and Alto Douro,1519,Portugal,70
University of Trieste,1518,Italy,41
University of Trento,1517,Italy,41
University of Toyama,1516,Japan,43
University of Toronto,1515,Canada,11
Université Frères Mentouri Constantine 1,1590,Algeria,0
Université Hassan 1er,1592,Morocco,56
University of Southern Denmark,1486,Denmark,20
William & Mary,1645,United States,94
Yokohama National University,1669,Japan,43
Yokohama City University,1668,Japan,43
Yeungnam University,1667,South Korea,80
Yeditepe University,1666,Turkey,89
Yazd University,1665,Iran,37
Yasouj University,1664,Iran,37
Yarmouk University,1663,Jordan,44
Yanshan University,1662,China,13
Yangzhou University,1661,China,13
Yamaguchi University,1660,Japan,43
Yamagata University,1659,Japan,43
Yale University,1658,United States,94
Xuzhou Medical University,1657,China,13
Xi’an Jiaotong University,1656,China,13
Xidian University,1655,China,13
Xiangtan University,1654,China,13
Xiamen University,1653,China,13
Wuhan University of Technology,1652,China,13
Wuhan University,1651,China,13
Wuhan Textile University,1650,China,13
Wrocław University of Science and Technology,1649,Poland,69
Wrocław University of Environmental and Life Sciences,1648,Poland,69
Wroclaw Medical University,1647,Poland,69
Yonsei University (Seoul campus),1670,Unknown Location,95
York University,1671,Unknown Location,95
Yuan Ze University,1672,Taiwan,85
Zonguldak Bülent Ecevit University,1685,Turkey,89
Ştefan cel Mare University of Suceava,1695,Romania,73
Örebro University,1694,Sweden,83
Óbuda University,1693,Hungary,33
École des Ponts ParisTech,1692,France,27
École des Mines de Saint-Étienne,1691,France,27
École Polytechnique Fédérale de Lausanne,1690,Switzerland,84
École Normale Supérieure de Lyon,1689,France,27
École Nationale des Travaux Publics de l'État (ENTPE),1688,France,27
École Centrale de Lyon,1687,France,27
Åbo Akademi University,1686,Finland,26
Zhengzhou University,1684,China,13
Yuriy Fedkovych Chernivtsi National University,1673,Ukraine,91
Zhejiang University of Technology,1683,China,13
Zhejiang University of Finance and Economics,1682,China,13
Zhejiang University,1681,Unknown Location,95
Zhejiang Normal University,1680,China,13
Zhejiang Gongshang University,1679,China,13
Zewail City of Science and Technology,1678,Egypt,22
Zayed University,1677,United Arab Emirates,92
Zanjan University of Medical Sciences,1676,Iran,37
Zagazig University,1675,Egypt,22
Yıldız Technical University,1674,Unknown Location,95
Worcester Polytechnic Institute,1646,United States,94
Western University,1644,Unknown Location,95
Université Hassan II de Casablanca,1593,Morocco,56
Western Sydney University,1643,Australia,2
Verona University,1616,Italy,41
Veltech University,1615,India,35
Vanderbilt University,1614,United States,94
Van Yüzüncü Yil University,1613,Turkey,89
VSB - Technical University of Ostrava,1612,Unknown Location,95
VIT University,1611,India,35
V.N. Karazin Kharkiv National University,1610,Ukraine,91
Uşak University,1609,Turkey,89
Utsunomiya University,1608,Japan,43
Utrecht University,1607,Netherlands,60
Urmia University of Medical Sciences,1606,Iran,37
Urmia University,1605,Iran,37
Uppsala University,1604,Sweden,83
Université du Québec,1603,Canada,11
Université de Gabès,1602,Tunisia,88
Université Sorbonne Nouvelle,1601,France,27
Université Saint-Joseph de Beyrouth,1600,Lebanon,48
Université Polytechnique Hauts-de-France,1599,France,27
Université Paris-Saclay,1598,France,27
Université Paris Cité,1597,Unknown Location,95
Université Mouloud Mammeri de Tizi-Ouzou,1596,Algeria,0
Université Libre de Bruxelles,1595,Belgium,6
Université Laval,1594,Canada,11
Victoria University,1617,Australia,2
Victoria University of Wellington,1618,New Zealand,61
Vietnam National University (Ho Chi Minh City),1619,Vietnam,97
Wake Forest University,1632,United States,94
Western Michigan University,1642,United States,94
West University of Timişoara,1641,Romania,73
Wenzhou Medical University,1640,China,13
Wayne State University,1639,United States,94
Washington University in St Louis,1638,United States,94
Washington State University,1637,United States,94
Waseda University,1636,Japan,43
Warsaw University of Technology,1635,Poland,69
Warsaw University of Life Sciences – SGGW,1634,Poland,69
Walailak University,1633,Thailand,87
Wageningen University & Research,1631,Netherlands,60
"Vietnam National University, Hanoi",1620,Vietnam,97
Vytautas Magnus University,1630,Lithuania,49
Vrije Universiteit Brussel,1629,Belgium,6
Vrije Universiteit Amsterdam,1628,Netherlands,60
Vita-Salute San Raffaele University,1627,Italy,41
"Visvesvaraya National Institute of Technology, Nagpur",1626,India,35
Virginia Polytechnic Institute and State University,1625,Unknown Location,95
Virginia Commonwealth University,1624,United States,94
Vilnius University,1623,Lithuania,49
Vilnius Gediminas Technical University (Vilnius Tech),1622,Lithuania,49
"Vignan’s Foundation for Science, Technology and Research",1621,India,35
University of Southern Queensland,1487,Australia,2
University of Southern California,1485,United States,94
University of Hamburg,1275,Germany,29
University of Leoben,1327,Austria,3
University of Mannheim,1351,Germany,29
University of Manitoba,1350,Canada,11
University of Manchester,1349,Unknown Location,95
University of Management and Technology,1348,Pakistan,66
University of Malta,1347,Malta,52
University of Malaya,1346,Malaysia,51
University of Malakand,1345,Pakistan,66
University of Malaga,1344,Spain,81
University of Macerata (UNIMC),1343,Italy,41
University of Macau,1342,Unknown Location,95
University of L’Aquila,1341,Italy,41
University of Luxembourg,1340,Luxembourg,50
University of Lucknow,1339,India,35
University of Lorraine,1338,France,27
University of Lleida,1337,Spain,81
University of Ljubljana,1336,Slovenia,78
University of Liège,1335,Belgium,6
University of Liverpool,1334,Unknown Location,95
University of Lisbon,1333,Portugal,70
University of Lincoln,1332,United Kingdom,93
University of Limerick,1331,Unknown Location,95
University of Lille,1330,France,27
University of León,1329,Spain,81
University of Manouba,1352,Tunisia,88
University of Maragheh,1353,Iran,37
University of Marburg,1354,Germany,29
University of Milan,1367,Italy,41
University of Mons,1377,Belgium,6
University of Monastir,1376,Tunisia,88
University of Mohaghegh Ardabili,1375,Iran,37
University of Modena and Reggio Emilia,1374,Italy,41
University of Miyazaki,1373,Japan,43
University of Missouri-St Louis,1372,United States,94
University of Miskolc,1371,Hungary,33
University of Minnesota,1370,United States,94
University of Minho,1369,Portugal,70
University of Milan-Bicocca,1368,Italy,41
University of Michigan-Ann Arbor,1366,United States,94
University of Maribor,1355,Slovenia,78
University of Miami,1365,United States,94
University of Messina,1364,Italy,41
University of Memphis,1363,United States,94
University of Melbourne,1362,Australia,2
University of Mazandaran,1361,Iran,37
University of Mauritius,1360,Mauritius,53
University of Massachusetts,1359,United States,94
"University of Maryland, College Park",1358,United States,94
"University of Maryland, Baltimore County",1357,United States,94
University of Marrakech Cadi Ayyad,1356,Morocco,56
University of Lethbridge,1328,Canada,11
University of Leicester,1326,United Kingdom,93
University of Montreal,1379,Unknown Location,95
University of Leeds,1325,United Kingdom,93
University of Isfahan,1298,Iran,37
University of Iowa,1297,United States,94
University of Ioannina,1296,Greece,31
University of International Business and Economics,1295,China,13
University of Insubria,1294,Italy,41
University of Innsbruck,1293,Austria,3
University of Indonesia,1292,Unknown Location,95
University of Ilorin,1291,Nigeria,62
University of Illinois at Urbana-Champaign,1290,United States,94
University of Illinois Chicago,1289,United States,94
University of Iceland,1288,Iceland,34
University of Ibadan,1287,Nigeria,62
University of Hyogo,1286,Japan,43
University of Hull,1285,United Kingdom,93
University of Huddersfield,1284,United Kingdom,93
University of Hradec Králové,1283,Czech Republic,19
University of Houston,1282,United States,94
University of Hong Kong,1281,Unknown Location,95
University of Hohenheim,1280,Germany,29
University of Hertfordshire,1279,United Kingdom,93
University of Helsinki,1278,Finland,26
University of Hawai’i at Mānoa,1277,United States,94
University of Havana,1276,Cuba,17
University of Jaén,1299,Spain,81
University of Jeddah,1300,Saudi Arabia,74
University of Johannesburg,1301,Unknown Location,95
University of Kurdistan,1314,Iran,37
University of Lausanne,1324,Switzerland,84
University of Latvia,1323,Latvia,47
University of Las Palmas de Gran Canaria,1322,Spain,81
University of Lahore,1321,Pakistan,66
University of Lagos,1320,Nigeria,62
University of La Serena,1319,Chile,12
University of La Sabana,1318,Colombia,14
University of La Laguna,1317,Spain,81
University of La Frontera,1316,Chile,12
University of KwaZulu-Natal,1315,Unknown Location,95
University of Kufa,1313,Iraq,38
University of Jyväskylä,1302,Finland,26
University of Kragujevac,1312,Serbia,75
University of Konstanz,1311,Germany,29
University of Klagenfurt,1310,Austria,3
University of Kiel,1309,Germany,29
University of Kentucky,1308,United States,94
University of Kent,1307,United Kingdom,93
University of Kashan,1306,Iran,37
University of Karachi,1305,Pakistan,66
University of Kansas,1304,United States,94
University of Kaiserslautern,1303,Germany,29
University of Montenegro,1378,Montenegro,55
University of Mosul,1380,Iraq,38
University of Southampton,1484,United Kingdom,93
University of Plymouth,1433,United Kingdom,93
University of Sargodha,1457,Pakistan,66
"University of Santiago, Chile (USACH)",1456,Chile,12
University of Santiago de Compostela,1455,Spain,81
University of Sannio,1454,Italy,41
University of Salford,1453,United Kingdom,93
University of Salerno,1452,Italy,41
University of Salento,1451,Italy,41
University of Salamanca,1450,Spain,81
University of Rome III,1449,Italy,41
University of Rome II – Tor Vergata,1448,Italy,41
University of Roehampton,1447,United Kingdom,93
University of Rochester,1446,United States,94
University of Rijeka,1445,Croatia,16
University of Rhode Island,1444,United States,94
University of Rennes 1,1443,France,27
University of Regina,1442,Canada,11
University of Reading,1441,United Kingdom,93
University of Pécs,1440,Hungary,33
University of Puerto Rico,1439,Puerto Rico,71
University of Primorska,1438,Slovenia,78
University of Pretoria,1437,South Africa,79
University of Potsdam,1436,Germany,29
University of Portsmouth,1435,United Kingdom,93
University of Saskatchewan,1458,Canada,11
University of Sassari,1459,Italy,41
University of Science and Technology Beijing,1460,China,13
University of Sistan and Baluchestan,1473,Iran,37
University of South Wales,1483,United Kingdom,93
University of South Florida,1482,United States,94
University of South Dakota,1481,United States,94
University of South Carolina-Columbia,1480,United States,94
University of South Bohemia in České Budějovice,1479,Czech Republic,19
University of South Australia,1478,Unknown Location,95
University of South Africa,1477,South Africa,79
University of Sousse,1476,Tunisia,88
University of Sonora,1475,Mexico,54
University of Social Welfare and Rehabilitation Sciences,1474,Iran,37
University of Silesia in Katowice,1472,Poland,69
University of Science and Technology of China,1461,Unknown Location,95
University of Siena,1471,Italy,41
University of Siegen,1470,Germany,29
University of Shizuoka,1469,Japan,43
University of Sheffield,1468,Unknown Location,95
University of Sharjah,1467,United Arab Emirates,92
University of Shanghai for Science and Technology,1466,China,13
University of Sfax,1465,Tunisia,88
University of Seville,1464,Spain,81
University of Seoul,1463,South Korea,80
University of Science and Technology of Oran Mohamed-Boudiaf,1462,Algeria,0
University of Porto,1434,Portugal,70
University of Pittsburgh-Pittsburgh campus,1432,United States,94
University of Mumbai,1381,India,35
University of Pisa,1431,Italy,41
University of Notre Dame,1404,United States,94
University of Northern British Columbia (UNBC),1403,Canada,11
University of North Carolina at Greensboro,1402,United States,94
University of North Carolina at Charlotte,1401,United States,94
University of North Carolina at Chapel Hill,1400,United States,94
University of North Carolina Wilmington,1399,United States,94
University of Nigeria Nsukka,1398,Nigeria,62
University of Nicosia,1397,Unknown Location,95
University of Newcastle,1396,Australia,2
University of New Mexico (Main campus),1395,United States,94
University of New Brunswick UNB,1394,Canada,11
"University of Nevada, Las Vegas",1393,United States,94
University of Neuchâtel,1392,Switzerland,84
University of Nebraska-Lincoln,1391,United States,94
University of Nebraska Medical Center,1390,United States,94
University of Navarra,1389,Spain,81
University of Naples Federico II,1388,Italy,41
University of Namur,1387,Belgium,6
University of Namibia,1386,Namibia,58
University of Nairobi,1385,Kenya,46
University of Münster,1384,Germany,29
University of Mysore,1383,India,35
University of Murcia,1382,Spain,81
University of Nottingham,1405,United Kingdom,93
University of Novi Sad,1406,Serbia,75
"University of Occupational and Environmental Health, Japan",1407,Japan,43
University of Parma,1420,Italy,41
University of Peshawar,1430,Pakistan,66
University of Perugia,1429,Italy,41
University of Pernambuco,1428,Brazil,8
University of Peradeniya,1427,Sri Lanka,82
University of Pennsylvania,1426,United States,94
University of Pavia,1425,Italy,41
University of Pau and Pays de l’Adour,1424,France,27
University of Patras,1423,Greece,31
University of Passo Fundo (UPF),1422,Brazil,8
University of Passau,1421,Germany,29
University of Pardubice,1419,Czech Republic,19
University of Oradea,1408,Romania,73
University of Pannonia,1418,Hungary,33
University of Palermo,1417,Italy,41
University of Padua,1416,Italy,41
University of Oxford,1415,United Kingdom,93
University of Oviedo,1414,Spain,81
University of Oulu,1413,Unknown Location,95
University of Ottawa,1412,Unknown Location,95
University of Otago,1411,New Zealand,61
University of Ostrava,1410,Czech Republic,19
University of Oslo,1409,Norway,64
Scuola Normale Superiore di Pisa,850,Italy,41
Savitribai Phule Pune University,848,India,35
Aalborg University,1,Denmark,20
Florida International University,291,United States,94
Florida Atlantic University,289,United States,94
Florida Agricultural and Mechanical University,288,United States,94
Flinders University,287,Australia,2
Firat University,286,Turkey,89
Ferhat Abbas Sétif University 1,285,Algeria,0
Ferdowsi University of Mashhad,284,Iran,37
Feng Chia University,283,Taiwan,85
Federico Santa María Technical University,282,Chile,12
Federation University Australia,281,Unknown Location,95
Federal University of the State of Rio de Janeiro (UNIRIO),280,Brazil,8
Federal University of Viçosa,279,Brazil,8
Federal University of Vales do Jequitinhonha e Mucuri,278,Brazil,8
Federal University of Uberlândia,277,Brazil,8
Federal University of Toulouse Midi-Pyrénées,276,France,27
Federal University of Technology Akure,275,Nigeria,62
Federal University of São Carlos,274,Brazil,8
Federal University of Santa Maria,273,Brazil,8
Federal University of Rio de Janeiro,272,Brazil,8
Federal University of Rio Grande do Norte (UFRN),271,Brazil,8
Federal University of Piauí,270,Brazil,8
Federal University of Pernambuco,269,Brazil,8
Federal University of Pelotas,268,Brazil,8
Federal University of Pará,267,Brazil,8
Florida Institute of Technology,290,United States,94
Florida State University,292,United States,94
Saveetha Institute of Medical and Technical Sciences,847,Unknown Location,95
Fluminense Federal University,293,Brazil,8
Georgia State University,316,United States,94
Georgia Southern University,315,United States,94
Georgia Institute of Technology,314,United States,94
Georgetown University,313,United States,94
George Washington University,312,United States,94
George Mason University,311,United States,94
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",310,Romania,73
Gebze Technical University,309,Turkey,89
Gdańsk University of Technology,308,Poland,69
Gaziantep University,307,Turkey,89
Gazi University,306,Turkey,89
Gabriele d‘Annunzio University,305,Italy,41
GITAM University,304,India,35
Fuzhou University,303,China,13
Fukuoka University,302,Japan,43
Fujita Health University,301,Japan,43
Fujian Normal University,300,China,13
Fujian Agriculture and Forestry University,299,China,13
Fudan University,298,China,13
Fu Jen Catholic University,297,Taiwan,85
Friedrich Schiller University Jena,296,Germany,29
Free University of Bozen-Bolzano,295,Italy,41
Free University of Berlin,294,Germany,29
Federal University of Paraí­ba (UFPB),266,Brazil,8
Federal University of Minas Gerais,265,Brazil,8
Federal University of Mato Grosso do Sul,264,Brazil,8
Federal University of Lavras,263,Brazil,8
ETH Zurich,236,Switzerland,84
ENSTA Bretagne,235,France,27
EAFIT University,234,Colombia,14
Duzce University,233,Turkey,89
Duy Tan University,232,Vietnam,97
Durham University,231,United Kingdom,93
Durban University of Technology,230,South Africa,79
Dunarea de Jos University of Galati,229,Romania,73
Dumlupinar University,228,Turkey,89
Duke University,227,United States,94
Dublin City University,226,Ireland,39
Drexel University,225,United States,94
Dr B.R. Ambedkar National Institute of Technology Jalandhar,224,India,35
Dow University of Health Sciences,223,Pakistan,66
Doshisha University,222,Japan,43
Donghua University,221,China,13
Dokuz Eylül University,220,Turkey,89
Dokkyo Medical University,219,Japan,43
Diponegoro University,218,Indonesia,36
Diego Portales University,217,Chile,12
Dicle University,216,Turkey,89
Democritus University of Thrace,215,Greece,31
Delhi Technological University,214,India,35
East China Normal University,237,China,13
East China University of Science and Technology,238,China,13
Eastern Mediterranean University,239,Northern Cyprus,63
Escuela Superior Politécnica del Litoral,252,Ecuador,21
Federal University of Itajubá,262,Brazil,8
Federal University of Goiás,261,Brazil,8
Federal University of Espírito Santo,260,Brazil,8
"Federal University of Agriculture, Abeokuta",259,Nigeria,62
Federal Rural University of Pernambuco,258,Brazil,8
Fayoum University,257,Egypt,22
Eötvös Loránd University,256,Unknown Location,95
Ewha Womans University,255,South Korea,80
European University of Madrid,254,Spain,81
Eskişehir Osmangazi University,253,Turkey,89
Escuela Politécnica Nacional,251,Ecuador,21
Edge Hill University,240,United Kingdom,93
Erzincan Binali Yıldırım University,250,Turkey,89
Erciyes University,249,Turkey,89
Erasmus University Rotterdam,248,Unknown Location,95
Emory University,247,United States,94
El Bosque University,246,Colombia,14
Eindhoven University of Technology,245,Netherlands,60
Ehime University,244,Japan,43
Ege University,243,Turkey,89
Edith Cowan University,242,Unknown Location,95
Edinburgh Napier University,241,United Kingdom,93
German University in Cairo,317,Egypt,22
Ghent University,318,Belgium,6
Gheorghe Asachi Technical University of Iaşi,319,Romania,73
Hyogo College of Medicine,372,Japan,43
Indian Institute of Technology Guwahati,396,India,35
Indian Institute of Technology Gandhinagar,395,India,35
Indian Institute of Technology Bhubaneswar,394,India,35
Indian Institute of Technology (Indian School of Mines) Dhanbad,393,India,35
"Indian Institute of Science Education and Research, Pune",392,India,35
Indian Institute of Science Education and Research Kolkata,391,India,35
Indian Institute of Science Education and Research Bhopal,390,India,35
Indian Institute of Science,389,India,35
Incheon National University,388,South Korea,80
Imperial College London,387,United Kingdom,93
Imam Mohammad Ibn Saud Islamic University,386,Saudi Arabia,74
Imam Abdulrahman Bin Faisal University,385,Saudi Arabia,74
Ilmenau University of Technology,384,Germany,29
Illinois Institute of Technology,383,United States,94
Ilia State University,382,Georgia,28
Ilam University of Medical Sciences,381,Iran,37
Icesi University,380,Colombia,14
Ibn Tofaïl University,379,Morocco,56
Ibaraki University,378,Japan,43
ISCTE-University Institute of Lisbon,377,Portugal,70
IPB University,376,Indonesia,36
IMT Nord Europe,375,France,27
IMT Atlantique,374,France,27
Indian Institute of Technology Indore,397,India,35
Indian Institute of Technology Mandi,398,India,35
Indian Institute of Technology Patna,399,India,35
"International Islamic University, Islamabad",412,Pakistan,66
Istanbul Medipol University,422,Unknown Location,95
Istanbul Medeniyet University,421,Turkey,89
Islamic University of Indonesia,420,Indonesia,36
"Islamic Azad University, Najafabad Branch (IAUN)",419,Iran,37
Isfahan University of Technology,418,Iran,37
Isfahan University of Medical Sciences,417,Iran,37
Iran University of Science and Technology,416,Iran,37
Iran University of Medical Sciences,415,Iran,37
Iowa State University,414,United States,94
Inönü University,413,Turkey,89
"International Institute of Information Technology, Hyderabad",411,India,35
Indian Institute of Technology Ropar,400,India,35
International Hellenic University,410,Greece,31
Instituto Politécnico de Bragança,409,Portugal,70
Instituto Politécnico Nacional (IPN),408,Mexico,54
Institute of Chemical Technology,407,India,35
Institut Teknologi Sepuluh Nopember,406,Indonesia,36
Institut Polytechnique de Paris,405,France,27
Institut Agro,404,France,27
Inha University,403,South Korea,80
Indraprastha Institute of Information Technology Delhi,402,India,35
Indiana University,401,United States,94
I-Shou University,373,Taiwan,85
Hungarian University of Agriculture and Life Sciences,371,Hungary,33
Gifu University,320,Japan,43
Hunan University,370,China,13
Hamamatsu University School of Medicine,343,Japan,43
Hallym University,342,South Korea,80
Hakim Sabzevari University,341,Iran,37
Hacettepe University,340,Turkey,89
Gyeongsang National University,339,Unknown Location,95
Gwangju Institute of Science and Technology (GIST),338,South Korea,80
Guru Jambheshwar University of Science and Technology,337,India,35
Gunma University,336,Japan,43
Guangzhou University,335,China,13
Guangzhou Medical University,334,China,13
Guangxi University,333,China,13
Guangdong University of Technology,332,China,13
Grigore T. Popa University of Medicine and Pharmacy,331,Romania,73
Griffith University,330,Unknown Location,95
Graz University of Technology,329,Austria,3
Graphic Era University,328,Unknown Location,95
Grand Valley State University,327,United States,94
Government College University Lahore,326,Pakistan,66
Government College University Faisalabad,325,Pakistan,66
Golestan University of Medical Sciences,324,Iran,37
"Goldsmiths, University of London",323,United Kingdom,93
Goethe University Frankfurt,322,Germany,29
Glasgow Caledonian University,321,United Kingdom,93
Hamburg University of Technology,344,Germany,29
Hanoi University of Science and Technology,345,Vietnam,97
Hanyang University,346,Unknown Location,95
Hiroshima University,359,Japan,43
Humboldt University of Berlin,369,Germany,29
Humanitas University,368,Unknown Location,95
Hue University,367,Vietnam,97
Huazhong University of Science and Technology,366,China,13
Huaqiao University,365,China,13
Howard University,364,United States,94
Hosei University,363,Japan,43
Hong Kong Polytechnic University,362,Unknown Location,95
Hong Kong Baptist University,361,Hong Kong,32
Hokkaido University,360,Japan,43
Heriot-Watt University,358,United Kingdom,93
Harbin Engineering University,347,China,13
Helwan University,357,Egypt,22
Hellenic Open University,356,Greece,31
Heinrich Heine University Düsseldorf,355,Germany,29
Hebrew University of Jerusalem,354,Israel,40
Hazara University Mansehra,353,Pakistan,66
Hasselt University,352,Belgium,6
Hasanuddin University,351,Indonesia,36
Harvard University,350,United States,94
Harokopio University of Athens,349,Greece,31
Harbin Institute of Technology,348,China,13
Delft University of Technology,213,Netherlands,60
Del Rosario University,212,Colombia,14
Deakin University,211,Australia,2
Assiut University,53,Egypt,22
Bahçeşehir University,77,Turkey,89
Bahria University,76,Pakistan,66
Bahauddin Zakariya University,75,Pakistan,66
Badji Mokhtar University – Annaba,74,Algeria,0
Babol University of Medical Sciences,73,Iran,37
Babol Noshirvani University of Technology,72,Iran,37
Babeş-Bolyai University,71,Romania,73
BINUS University,70,Indonesia,36
Azarbaijan Shahid Madani University,69,Iran,37
Autonomous University of Sinaloa,68,Mexico,54
Autonomous University of Madrid,67,Spain,81
Autonomous University of Barcelona,66,Spain,81
Autonomous University of Baja California,65,Mexico,54
Australian National University,64,Australia,2
Australian Catholic University,63,Australia,2
Austral University of Chile,62,Chile,12
Auckland University of Technology,61,Unknown Location,95
Auburn University,60,United States,94
Atılım University,59,Unknown Location,95
Athens University of Economics and Business,58,Greece,31
Ateneo de Manila University,57,Philippines,68
Atatürk University,56,Turkey,89
Aswan University,55,Egypt,22
Baku State University,78,Azerbaijan,4
Banaras Hindu University,79,India,35
Banasthali University,80,India,35
Beirut Arab University,93,Lebanon,48
"Birkbeck, University of London",103,United Kingdom,93
Bilkent University,102,Turkey,89
Bielefeld University,101,Germany,29
Bialystok University of Technology,100,Poland,69
Bharathiar University,99,India,35
Bezmiâlem Vakif University,98,Turkey,89
Beni-Suef University,97,Egypt,22
Benha University,96,Egypt,22
Benemérita Universidad Autónoma de Puebla,95,Mexico,54
Ben-Gurion University of the Negev,94,Israel,40
Beijing Normal University,92,China,13
Bandung Institute of Technology (ITB),81,Indonesia,36
Beijing Jiaotong University,91,China,13
Beijing Institute of Technology,90,China,13
Beihang University,89,China,13
Başkent University,88,Turkey,89
Baylor University,87,United States,94
Bayero University,86,Nigeria,62
Bar-Ilan University,85,Israel,40
Bangor University,84,United Kingdom,93
Bangladesh University of Engineering and Technology,83,Bangladesh,5
Bangladesh Agricultural University (BAU),82,Bangladesh,5
Aston University,54,United Kingdom,93
"Asia University, Taiwan",52,Taiwan,85
Birmingham City University,105,United Kingdom,93
Arts et Métiers,51,France,27
Alagappa University,24,India,35
Al-Farabi Kazakh National University,23,Kazakhstan,45
Al-Balqa Applied University,22,Jordan,44
Al-Azhar University,21,Egypt,22
Aksaray University,20,Turkey,89
Akita University,19,Japan,43
Akdeniz University,18,Turkey,89
Ajou University,17,South Korea,80
Aix-Marseille University,16,France,27
Ain Shams University,15,Egypt,22
Aichi Medical University,14,Japan,43
Ahvaz Jundishapur University of Medical Sciences (AJUMS),13,Iran,37
Adolfo Ibáñez University,12,Chile,12
Addis Ababa University,11,Ethiopia,24
"Adam Mickiewicz University, Poznań",10,Poland,69
Acıbadem University,9,Unknown Location,95
Acharya Nagarjuna University,8,India,35
Abu Dhabi University,7,United Arab Emirates,92
Aberystwyth University,6,United Kingdom,93
Abdul Wali Khan University Mardan,5,Pakistan,66
Abdelmalek Essaâdi University,4,Morocco,56
Aarhus University,3,Denmark,20
Aalto University,2,Finland,26
Alexandria University,25,Egypt,22
Alexandru Ioan Cuza University,26,Romania,73
Alfaisal University,27,Unknown Location,95
Anglia Ruskin University (ARU),40,United Kingdom,93
Arizona State University (Tempe),50,Unknown Location,95
Aristotle University of Thessaloniki,49,Greece,31
Ariel University,48,Israel,40
Arak University of Medical Sciences,47,Iran,37
Arak University,46,Iran,37
"Arab Academy for Science, Technology and Maritime Transport",45,Egypt,22
Aoyama Gakuin University,44,Japan,43
Annamalai University,43,India,35
Anna University,42,India,35
Ankara University,41,Turkey,89
Andhra University,39,India,35
Aligarh Muslim University,28,India,35
Anadolu University,38,Turkey,89
An-Najah National University,37,Unknown Location,95
Amity University,36,India,35
Amirkabir University of Technology,35,Iran,37
American University of Sharjah,34,United Arab Emirates,92
American University of Beirut,33,Lebanon,48
American University in Cairo,32,Egypt,22
American University,31,United States,94
Amedeo Avogadro University of Eastern Piedmont,30,Italy,41
Alzahra University,29,Iran,37
"Birla Institute of Technology and Science, Pilani",104,India,35
Blida 1 University,106,Algeria,0
De Montfort University,210,United Kingdom,93
Chiba University,159,Japan,43
Colorado School of Mines,183,United States,94
Cochin University of Science and Technology,182,India,35
Clemson University,181,United States,94
Claude Bernard University Lyon 1,180,France,27
Clarkson University,179,United States,94
Clark University,178,United States,94
"City, University of London",177,United Kingdom,93
City University of Hong Kong,176,Unknown Location,95
Chuo University,175,Japan,43
Chungnam National University,174,South Korea,80
Chungbuk National University,173,Unknown Location,95
Chung-Ang University,172,South Korea,80
Chung Yuan Christian University,171,Taiwan,85
Chulalongkorn University,170,Unknown Location,95
Chubu University,169,Japan,43
Chosun University,168,South Korea,80
Chonnam National University,167,Unknown Location,95
Chongqing University,166,Unknown Location,95
Chinese University of Hong Kong,165,Unknown Location,95
Chinese Culture University,164,Taiwan,85
"China University of Petroleum, Beijing",163,China,13
"China University of Geosciences, Beijing",162,China,13
China Pharmaceutical University,161,China,13
"Colorado State University, Fort Collins",184,United States,94
Columbia University,185,United States,94
Comenius University in Bratislava,186,Slovakia,77
Cukurova University,199,Turkey,89
De La Salle University,209,Unknown Location,95
Dartmouth College,208,United States,94
Damietta University,207,Egypt,22
Damghan University,206,Iran,37
Dalian University of Technology,205,China,13
Dalhousie University,204,Unknown Location,95
Czech University of Life Sciences Prague (CZU),203,Czech Republic,19
